date,hr,open,high,low,close,volume
2020.06.18,11:00,17.598,17.644,17.561,17.638,2361
2020.06.18,12:00,17.645,17.675,17.543,17.556,2724
2020.06.18,13:00,17.553,17.612,17.528,17.602,3050
2020.06.18,14:00,17.603,17.616,17.425,17.501,2882
2020.06.18,15:00,17.502,17.538,17.418,17.461,5363
2020.06.18,16:00,17.463,17.481,17.364,17.385,4178
2020.06.18,17:00,17.386,17.407,17.31,17.396,4283
2020.06.18,18:00,17.395,17.44,17.352,17.357,2479
2020.06.18,19:00,17.355,17.407,17.355,17.386,1481
2020.06.18,20:00,17.383,17.424,17.376,17.415,1219
2020.06.18,21:00,17.416,17.44,17.394,17.428,1002
2020.06.18,22:00,17.428,17.435,17.363,17.39,1337
2020.06.18,23:00,17.393,17.404,17.362,17.37,661
2020.06.19,1:00,17.385,17.393,17.363,17.393,334
2020.06.19,2:00,17.393,17.411,17.386,17.411,418
2020.06.19,3:00,17.411,17.42,17.374,17.398,608
2020.06.19,4:00,17.402,17.468,17.378,17.423,2065
2020.06.19,5:00,17.423,17.432,17.371,17.385,1210
2020.06.19,6:00,17.386,17.401,17.371,17.383,926
2020.06.19,7:00,17.384,17.407,17.377,17.385,476
2020.06.19,8:00,17.385,17.502,17.379,17.502,1377
2020.06.19,9:00,17.499,17.573,17.473,17.564,2143
2020.06.19,10:00,17.564,17.577,17.536,17.554,1635
2020.06.19,11:00,17.555,17.562,17.491,17.529,1534
2020.06.19,12:00,17.53,17.552,17.51,17.552,1221
2020.06.19,13:00,17.556,17.568,17.518,17.518,933
2020.06.19,14:00,17.521,17.621,17.517,17.612,1523
2020.06.19,15:00,17.611,17.681,17.583,17.647,3513
2020.06.19,16:00,17.649,17.7,17.582,17.666,2892
2020.06.19,17:00,17.67,17.753,17.662,17.676,3857
2020.06.19,18:00,17.677,17.801,17.674,17.721,4115
2020.06.19,19:00,17.717,17.726,17.555,17.648,5038
2020.06.19,20:00,17.647,17.679,17.616,17.628,2180
2020.06.19,21:00,17.628,17.674,17.604,17.665,1541
2020.06.19,22:00,17.664,17.681,17.646,17.678,1301
2020.06.19,23:00,17.676,17.679,17.558,17.609,870
2020.06.22,1:00,17.647,17.752,17.607,17.701,2028
2020.06.22,2:00,17.702,17.78,17.679,17.772,980
2020.06.22,3:00,17.772,17.836,17.753,17.758,1705
2020.06.22,4:00,17.758,17.994,17.701,17.953,4938
2020.06.22,5:00,17.953,17.995,17.885,17.9,2357
2020.06.22,6:00,17.902,17.909,17.855,17.879,1588
2020.06.22,7:00,17.879,17.892,17.847,17.866,1222
2020.06.22,8:00,17.866,17.921,17.861,17.882,1731
2020.06.22,9:00,17.881,17.915,17.829,17.857,2275
2020.06.22,10:00,17.858,17.885,17.795,17.836,3773
2020.06.22,11:00,17.835,17.882,17.792,17.877,2745
2020.06.22,12:00,17.877,17.939,17.864,17.915,1837
2020.06.22,13:00,17.915,17.915,17.825,17.848,1816
2020.06.22,14:00,17.848,17.885,17.822,17.881,1479
2020.06.22,15:00,17.881,17.976,17.822,17.917,3655
2020.06.22,16:00,17.922,18.025,17.871,17.997,4215
2020.06.22,17:00,17.997,18.03,17.74,17.778,6246
2020.06.22,18:00,17.779,17.875,17.726,17.845,3679
2020.06.22,19:00,17.845,17.859,17.761,17.786,2218
2020.06.22,20:00,17.786,17.819,17.756,17.814,2291
2020.06.22,21:00,17.813,17.823,17.767,17.778,1542
2020.06.22,22:00,17.78,17.822,17.667,17.717,1691
2020.06.22,23:00,17.719,17.76,17.707,17.708,757
2020.06.23,1:00,17.7,17.764,17.7,17.749,734
2020.06.23,2:00,17.748,17.823,17.728,17.801,894
2020.06.23,3:00,17.802,17.817,17.77,17.795,1384
2020.06.23,4:00,17.794,17.872,17.705,17.775,7195
2020.06.23,5:00,17.774,17.791,17.713,17.745,3631
2020.06.23,6:00,17.745,17.765,17.724,17.736,1157
2020.06.23,7:00,17.736,17.736,17.675,17.688,751
2020.06.23,8:00,17.689,17.764,17.673,17.71,2148
2020.06.23,9:00,17.709,17.734,17.664,17.72,2018
2020.06.23,10:00,17.714,17.853,17.689,17.833,2428
2020.06.23,11:00,17.835,17.854,17.766,17.819,2555
2020.06.23,12:00,17.82,17.859,17.802,17.846,1212
2020.06.23,13:00,17.846,17.868,17.791,17.809,898
2020.06.23,14:00,17.809,17.901,17.809,17.833,1794
2020.06.23,15:00,17.833,17.932,17.799,17.883,3214
2020.06.23,16:00,17.883,17.999,17.87,17.964,4895
2020.06.23,17:00,17.964,17.989,17.851,17.905,7569
2020.06.23,18:00,17.905,17.956,17.898,17.911,2737
2020.06.23,19:00,17.915,17.973,17.911,17.931,2096
2020.06.23,20:00,17.931,17.965,17.92,17.964,1544
2020.06.23,21:00,17.964,17.969,17.922,17.964,1267
2020.06.23,22:00,17.959,17.988,17.949,17.977,1315
2020.06.23,23:00,17.978,18.014,17.932,17.94,838
2020.06.24,1:00,17.943,18.006,17.933,17.946,959
2020.06.24,2:00,17.944,17.993,17.927,17.981,679
2020.06.24,3:00,17.982,18.076,17.941,17.957,1634
2020.06.24,4:00,17.955,17.997,17.919,17.925,5216
